Rank,feature,q_anova,q_kw,log_q_anova,log_q_kw,score_min,score_max,score_geomean
1,GYRO_Y__range_count__max_1__min_-1,0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
2,GYRO_X__count_above__t_0,0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
3,GYRO_X__count_below__t_0,0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
4,GYRO_X__range_count__max_1__min_-1,0.0,4.0209386863542445e-275,307.6526555685888,274.39567254922514,0.0,4.0209386863542445e-275,0.0
5,GYRO_Y__benford_correlation,0.0,1.4430225614304662e-263,307.6526555685888,262.8407268787276,0.0,1.4430225614304662e-263,0.0
6,GYRO_X__range_count__max_0__min_-1000000000000.0,0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
7,GYRO_X__range_count__max_1000000000000.0__min_0,0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
8,GYRO_X__sum_of_reoccurring_data_points,0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
9,GYRO_Z__number_peaks__n_1,0.0,5.6011029977360084e-201,307.6526555685888,200.25172644109003,0.0,5.6011029977360084e-201,0.0
10,GYRO_X__median,0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
11,GYRO_X__value_count__value_0,8.616784170473879e-299,4.314266198533156e-245,298.0646547849407,244.36509306160082,8.616784170473879e-299,4.314266198533156e-245,0.0
12,"GYRO_X__fft_coefficient__attr_""real""__coeff_0",8.320643788320339e-292,2.067731615447344e-239,291.07984306999555,238.6845058318713,8.320643788320339e-292,2.067731615447344e-239,0.0
13,GYRO_X__sum_values,8.320643788320339e-292,2.067731615447344e-239,291.07984306999555,238.6845058318713,8.320643788320339e-292,2.067731615447344e-239,0.0
14,GYRO_X__mean,7.818496935580652e-291,1.5777272968170515e-241,290.1068767297183,240.8019680605197,7.818496935580652e-291,1.5777272968170515e-241,0.0
15,GYRO_Z__number_crossing_m__m_0,3.2364227168815344e-287,3.9040415470820315e-227,286.48993475911806,226.40848556918863,3.2364227168815344e-287,3.9040415470820315e-227,0.0
16,"GYRO_X__fft_coefficient__attr_""angle""__coeff_0",3.8870942808589765e-279,3.362534240978095e-224,278.4103749254968,223.4733332845086,3.8870942808589765e-279,3.362534240978095e-224,0.0
17,GYRO_Y__value_count__value_0,2.145082605769619e-271,1.6659970496976888e-270,270.6685559787524,269.7783257720176,2.145082605769619e-271,1.6659970496976888e-270,0.0
18,GYRO_Z__value_count__value_0,1.5470905490386197e-238,1.9550836523686865e-175,237.8104842669102,174.70883465566715,1.5470905490386197e-238,1.9550836523686865e-175,0.0
19,GYRO_Y__median,3.118550736239413e-235,0.0,234.5060471859436,307.6526555685888,0.0,3.118550736239413e-235,0.0
20,GYRO_Z__ar_coefficient__coeff_8__k_10,5.783913494980098e-199,1.524524377189318e-165,198.23777821103403,164.81686562686164,5.783913494980098e-199,1.524524377189318e-165,0.0
21,GYRO_Z__ar_coefficient__coeff_7__k_10,4.258503280461542e-189,1.3406495118764512e-165,188.37074301386738,164.87268474560344,4.258503280461542e-189,1.3406495118764512e-165,0.0
22,MMA_Z__sum_of_reoccurring_values,1.5612674229136339e-176,2.829948558085866e-153,175.80652270209546,152.54822145887235,1.5612674229136339e-176,2.829948558085866e-153,0.0
23,GYRO_Y__number_crossing_m__m_1,4.0827018681876115e-175,1.81277343097425e-226,174.38905233247678,225.74165647269794,1.81277343097425e-226,4.0827018681876115e-175,0.0
24,"MMA_Z__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""",6.941891079275096e-174,2.2142494359401967e-167,173.1585222048451,166.6547734572827,6.941891079275096e-174,2.2142494359401967e-167,0.0
25,"MMA_Z__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""",1.3692647394741308e-171,8.906017385190617e-162,170.8635125754035,161.0503164614297,1.3692647394741308e-171,8.906017385190617e-162,0.0
26,GYRO_Z__ar_coefficient__coeff_9__k_10,1.7344348233872692e-169,5.705185551867323e-140,168.76084201543858,139.24373022629544,1.7344348233872692e-169,5.705185551867323e-140,9.947498426762681e-155
27,"MMA_Z__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""",2.174271015082621e-168,1.700751552055354e-162,167.6626863236264,161.76935912404298,2.174271015082621e-168,1.700751552055354e-162,0.0
28,"MMA_Z__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",9.425229117701763e-167,6.933512441842847e-161,166.02570808373818,160.15904670079067,9.425229117701763e-167,6.933512441842847e-161,0.0
29,"MMA_Z__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""",1.4765017426497624e-166,1.0560540362058906e-160,165.83076603612002,159.97631385924007,1.4765017426497624e-166,1.0560540362058906e-160,0.0
30,"MMA_Z__linear_trend__attr_""intercept""",2.1199202798842563e-166,1.5564980294482312e-160,165.6736804705134,159.807851424805,2.1199202798842563e-166,1.5564980294482312e-160,0.0
31,"ADXL_Z__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""",1.5747043399057064e-164,1.906110905025171e-161,163.8028009755893,160.7198518340024,1.5747043399057064e-164,1.906110905025171e-161,0.0
32,GYRO_Z__ar_coefficient__coeff_6__k_10,2.5128928406508184e-164,8.543411865356316e-161,163.59982603098814,160.0683686564323,2.5128928406508184e-164,8.543411865356316e-161,0.0
33,"ADXL_Z__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""",1.0823960882170258e-161,3.0283470007272637e-155,160.96561378594927,154.51879436303366,1.0823960882170258e-161,3.0283470007272637e-155,1.810489151618802e-158
34,MMA_Z__range_count__max_1000000000000.0__min_0,1.1222901915733751e-160,6.453322545730267e-143,159.94989483264854,142.19021662772874,1.1222901915733751e-160,6.453322545730267e-143,8.510288241964782e-152
35,GYRO_X__sum_of_reoccurring_values,1.5687403004150725e-159,1.626368944763809e-211,158.804448946427,210.78878092706952,1.626368944763809e-211,1.5687403004150725e-159,0.0
36,"ADXL_Z__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""",1.610233943924614e-159,6.142609872812691e-158,158.79311102261744,157.21164706655654,1.610233943924614e-159,6.142609872812691e-158,9.945370326503163e-159
37,GYRO_Y__sum_of_reoccurring_data_points,1.2135633368091231e-158,1.582806025377838e-220,157.91593755257566,219.80057230514385,1.582806025377838e-220,1.2135633368091231e-158,0.0
38,ADXL_Z__range_count__max_1000000000000.0__min_0,2.2788818229635846e-158,4.400611137394139e-138,157.64227819564698,137.3564870064303,2.2788818229635846e-158,4.400611137394139e-138,3.16677639421204e-148
39,"ADXL_Z__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",1.0013003342925736e-157,4.510416518772269e-156,156.99943563884173,155.34578335092652,1.0013003342925736e-157,4.510416518772269e-156,6.720328539611917e-157
40,"ADXL_Z__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""",1.6624546982605187e-157,7.536788915525357e-156,156.77925018034878,155.12281364793722,1.6624546982605187e-157,7.536788915525357e-156,1.119355624564009e-156
41,"ADXL_Z__linear_trend__attr_""intercept""",2.5065047800880447e-157,1.1401262246601788e-155,156.60093146281878,154.94304706476987,2.5065047800880447e-157,1.1401262246601788e-155,1.6904827215963102e-156
42,MMA_Z__count_above__t_0,1.1719358897326954e-152,2.369884559069819e-138,151.9310961455678,137.62527280866502,1.1719358897326954e-152,2.369884559069819e-138,1.6665391592450702e-145
43,MMA_Z__count_below__t_0,2.6003534008248467e-152,3.804468935124323e-138,151.5849676252606,137.4197059577217,2.6003534008248467e-152,3.804468935124323e-138,3.1453082096645183e-145
44,ADXL_Z__count_above__t_0,1.6437508426784198e-147,1.0618631167675136e-134,146.78416401152253,133.97393146391747,1.6437508426784198e-147,1.0618631167675136e-134,4.177844411889622e-141
45,"MMA_Z__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",1.7051942916123937e-146,8.400832901915549e-140,145.76822612988684,139.07567765360793,1.7051942916123937e-146,8.400832901915549e-140,3.784845083901846e-143
46,ADXL_Z__count_below__t_0,1.3999645768728878e-145,2.350850564364032e-133,144.85388295308124,132.6287749766321,1.3999645768728878e-145,2.350850564364032e-133,1.8141409855993225e-139
47,GYRO_X__quantile__q_0.4,4.868362895264683e-142,0.0,141.3126170562561,307.6526555685888,0.0,4.868362895264683e-142,0.0
48,GYRO_Z__benford_correlation,7.284151700707948e-139,4.133753015592796e-65,138.13762101810855,64.38365547525821,7.284151700707948e-139,4.133753015592796e-65,5.4873385223473206e-102
49,"ADXL_Z__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",1.7716529613002284e-138,4.534186475725592e-136,137.75162134551493,135.3435006227818,1.7716529613002284e-138,4.534186475725592e-136,2.834255615996322e-137
50,MMA_Y__value_count__value_-1,3.279843989431755e-135,2.937455170331253e-62,134.48414681364818,61.53202875261002,3.279843989431755e-135,2.937455170331253e-62,9.815495242032463e-99
51,"MMA_Z__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""",3.602012138574364e-133,6.578526804679131e-135,132.44345482796652,134.18187135140607,6.578526804679131e-135,3.602012138574364e-133,4.867846896153478e-134
52,ADXL_Y__number_crossing_m__m_-1,1.1414110209478498e-131,1.2939192219364453e-109,130.942557938416,108.8880928353847,1.1414110209478498e-131,1.2939192219364453e-109,1.215275137627083e-120
53,GYRO_X__benford_correlation,1.8905133222296984e-131,2.4232856898320498e-127,130.72342025786745,126.6155953823117,1.8905133222296984e-131,2.4232856898320498e-127,2.1403863857248005e-129
54,GYRO_Z__ar_coefficient__coeff_5__k_10,9.827885444426602e-130,4.26065608937431e-152,129.00753991437585,151.3705235196636,4.26065608937431e-152,9.827885444426602e-130,6.470953559134029e-141
55,"MMA_Z__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",6.450321960535281e-127,5.17521031704261e-123,126.19041860750517,122.28607199607876,6.450321960535281e-127,5.17521031704261e-123,5.777696146251437e-125
56,"ADXL_Z__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""",2.2435718672768468e-122,2.446076571989711e-128,121.64906001435828,127.61152995193093,2.446076571989711e-128,2.2435718672768468e-122,2.3426370999625837e-125
57,ADXL_Z__sum_of_reoccurring_values,3.4853408892208904e-121,1.2062574709200167e-126,120.45775473863702,125.91855998384978,1.2062574709200167e-126,3.4853408892208904e-121,6.4839945144376185e-124
58,"ADXL_Z__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",4.480272659106966e-120,7.776091976522343e-120,119.34869555503259,119.10923861116565,4.480272659106966e-120,7.776091976522343e-120,5.90245815547337e-120
59,GYRO_Y__count_below__t_0,7.376952643266896e-119,2.177910269513761e-118,118.1321230045088,117.6619600172606,7.376952643266896e-119,2.177910269513761e-118,1.2675307065111936e-118
60,GYRO_X__quantile__q_0.6,2.825191976054669e-117,0.0,116.54895203587695,307.6526555685888,0.0,2.825191976054669e-117,0.0
