Rank,feature,q_anova,q_kw,log_q_anova,log_q_kw,score_min,score_max,score_geomean
1,GYRO_Y__median,3.1185507362394133e-235,0.0,234.5060471859436,307.6526555685888,0.0,3.1185507362394133e-235,0.0
2,GYRO_Y__range_count__max_1__min_-1,0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
3,GYRO_X__median,0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
4,GYRO_X__range_count__max_1000000000000.0__min_0,0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
5,GYRO_X__count_below__t_0,0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
6,GYRO_X__count_above__t_0,0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
7,GYRO_X__quantile__q_0.6,2.825191976054669e-117,0.0,116.54895203587695,307.6526555685888,0.0,2.825191976054669e-117,0.0
8,GYRO_X__sum_of_reoccurring_data_points,0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
9,GYRO_X__quantile__q_0.4,4.868362895264683e-142,0.0,141.3126170562561,307.6526555685888,0.0,4.868362895264683e-142,0.0
10,GYRO_X__range_count__max_0__min_-1000000000000.0,0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
11,GYRO_X__quantile__q_0.7,3.859325400723605e-28,2.015365583372995e-277,27.413488602153976,276.6956461622076,2.015365583372995e-277,3.859325400723605e-28,8.819269577269733e-153
12,GYRO_X__range_count__max_1__min_-1,0.0,4.020938686354245e-275,307.6526555685888,274.39567254922514,0.0,4.020938686354245e-275,0.0
13,GYRO_Y__value_count__value_0,2.1450826057696192e-271,1.6659970496976888e-270,270.6685559787524,269.7783257720176,2.1450826057696192e-271,1.6659970496976888e-270,0.0
14,GYRO_X__quantile__q_0.3,2.1731624245197348e-42,1.2203937291339983e-263,41.662907812825146,262.91350003260084,1.2203937291339983e-263,2.1731624245197348e-42,5.149867760703686e-153
15,GYRO_Y__benford_correlation,0.0,1.4430225614304664e-263,307.6526555685888,262.8407268787276,0.0,1.4430225614304664e-263,0.0
16,GYRO_Y__quantile__q_0.4,1.492282941057348e-42,9.677489505221154e-261,41.82614882559659,260.01423729098053,9.677489505221154e-261,1.492282941057348e-42,1.2017301070083517e-151
17,GYRO_Y__quantile__q_0.6,1.0055056891362195e-38,6.598220497862899e-250,37.997615467828574,249.1805731753919,6.598220497862899e-250,1.0055056891362195e-38,2.5757616832262185e-144
