Rank,feature,q_anova,q_kw,log_q_anova,log_q_kw,score_min,score_max,score_geomean
1,GYRO_Z__mean_n_absolute_max__number_of_maxima_7,0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
2,GYRO_Y__quantile__q_0.9,0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
3,"ADXL_X__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
4,"ADXL_X__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
5,"ADXL_X__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8",0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
6,GYRO_Y__quantile__q_0.8,0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
7,GYRO_Y__quantile__q_0.7,0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
8,"ADXL_X__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
9,GYRO_Y__quantile__q_0.3,0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
10,GYRO_Y__quantile__q_0.1,0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
11,GYRO_Y__large_standard_deviation__r_0.15000000000000002,0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
12,GYRO_Y__large_standard_deviation__r_0.1,0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
13,GYRO_Y__cid_ce__normalize_False,0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
14,GYRO_Y__cid_ce__normalize_True,0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
15,GYRO_Y__minimum,0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
16,GYRO_Y__quantile__q_0.2,0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
17,GYRO_Y__absolute_maximum,0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
18,"ADXL_X__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
19,"ADXL_X__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
20,GYRO_Y__autocorrelation__lag_6,0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
21,"ADXL_X__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
22,GYRO_Y__autocorrelation__lag_5,0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
23,"ADXL_X__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
24,"ADXL_X__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
25,"ADXL_X__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",0.0,0.0,307.6526555685888,307.6526555685888,0.0,0.0,0.0
