,SA01,SA02,SA03,SA04,SA05,SA06,SA07,SA08,SA09,SA10,SA11,SA12,SA13,SA14,SA15,SA16,SA17,SA18,SA19,SA20,SA21,SA22,SA23,SE06
SA01,23,0,5,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
SA02,0,20,0,0,0,2,0,0,8,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
SA03,2,0,26,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA04,6,0,3,18,1,0,1,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
SA05,0,0,0,0,22,2,0,0,2,0,2,3,0,0,0,0,0,0,1,0,0,0,0,2
SA06,0,0,0,0,3,21,2,0,2,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0
SA07,1,0,2,1,0,3,19,0,0,0,0,0,0,1,0,0,2,1,0,2,0,0,2,0
SA08,0,0,0,1,0,0,0,28,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0
SA09,0,7,0,0,2,1,0,0,19,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1
SA10,0,0,1,1,0,0,2,0,0,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SA11,0,1,0,0,0,0,0,0,0,1,28,2,0,0,0,0,0,0,0,0,0,0,0,2
SA12,1,0,0,0,1,3,0,0,1,0,1,22,0,0,0,0,0,0,1,0,0,0,1,3
SA13,1,0,0,3,0,0,2,5,0,0,0,0,22,0,0,1,0,0,0,0,0,0,0,0
SA14,0,0,0,0,0,0,1,0,0,0,0,0,0,25,0,0,0,0,6,0,0,2,0,0
SA15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28,1,0,2,1,0,1,0,0,0
SA16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1,0,1,2,0,7,0
SA17,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,22,0,6,0,1,0,0,0
SA18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,1,23,0,0,2,0,2,0
SA19,0,0,0,0,0,1,1,0,1,0,1,0,0,3,0,0,4,0,18,3,0,1,1,0
SA20,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,3,24,0,2,1,0
SA21,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,24,0,3,0
SA22,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,1,1,1,4,0,21,0,0
SA23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,0,0,1,0,25,0
SE06,0,1,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,25
