,SA01,SA02,SA03,SA04,SA05,SA06,SA07,SA08,SA09,SA10,SA11,SA12,SA13,SA14,SA15,SA16,SA17,SA18,SA19,SA20,SA21,SA22,SA23,SE06
SA01,25,0,1,2,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
SA02,1,20,0,1,0,0,0,0,7,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
SA03,7,0,19,4,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SA04,5,0,2,18,0,1,2,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
SA05,0,2,0,0,19,2,1,0,3,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1
SA06,0,1,0,0,5,18,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,4,0,0
SA07,2,0,0,1,0,3,19,0,0,0,0,0,0,1,0,1,2,2,0,2,0,1,0,0
SA08,0,0,0,4,0,0,0,23,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0
SA09,0,6,0,0,6,1,0,0,17,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0
SA10,1,0,1,0,0,0,3,1,0,24,0,0,2,1,0,0,0,0,0,0,0,1,0,0
SA11,0,0,0,0,0,1,0,0,0,1,26,4,0,0,0,0,0,0,0,0,0,0,0,2
SA12,0,1,0,0,2,2,0,0,2,0,0,22,0,0,0,0,0,0,1,0,1,0,0,3
SA13,0,0,0,2,0,0,1,5,0,1,0,0,22,0,1,0,0,1,0,0,1,0,0,0
SA14,0,1,0,0,0,0,1,0,0,0,0,0,0,25,0,0,1,2,4,0,0,0,0,0
SA15,0,0,0,0,0,0,0,1,0,0,0,0,1,0,26,2,0,2,0,1,1,0,0,0
SA16,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,17,0,5,0,0,2,0,6,0
SA17,0,0,1,0,0,0,1,0,0,2,0,0,0,3,0,0,16,0,8,1,1,1,0,0
SA18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,24,0,0,3,0,0,0
SA19,0,1,0,0,0,1,0,0,1,1,0,1,0,4,0,0,2,0,20,0,0,3,0,0
SA20,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,1,0,6,16,0,4,1,0
SA21,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4,0,4,0,0,21,0,2,0
SA22,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,4,2,2,5,0,16,1,0
SA23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,5,0,0,7,2,16,0
SE06,0,1,0,0,0,0,0,0,2,1,2,2,0,0,0,0,0,0,1,0,0,0,0,25
