,SA01,SA02,SA03,SA04,SA05,SA06,SA07,SA08,SA09,SA10,SA11,SA12,SA13,SA14,SA15,SA16,SA17,SA18,SA19,SA20,SA21,SA22,SA23,SE06
SA01,16,0,7,5,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
SA02,0,19,0,0,1,2,0,0,4,0,0,3,0,0,0,1,0,0,1,0,1,1,0,1
SA03,3,0,25,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SA04,5,0,3,22,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA05,0,3,0,0,18,1,0,0,5,0,1,4,0,0,0,0,0,0,0,0,0,0,0,2
SA06,1,1,0,0,2,11,0,0,2,0,0,2,0,1,0,0,2,0,1,3,0,4,0,4
SA07,2,0,4,0,1,1,9,0,0,6,0,0,0,1,0,0,2,0,0,2,2,1,3,0
SA08,2,0,1,2,0,0,0,25,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0
SA09,0,5,0,0,4,2,0,0,19,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
SA10,3,0,1,0,0,0,3,2,0,20,0,0,1,0,0,0,1,0,0,1,0,0,0,2
SA11,0,0,0,0,1,2,0,0,2,0,22,0,0,0,0,0,0,0,0,0,1,0,0,6
SA12,0,3,0,0,4,2,0,0,3,0,2,15,0,0,0,0,0,0,0,0,0,1,0,4
SA13,2,0,0,3,0,0,1,4,0,0,0,0,23,0,0,1,0,0,0,0,0,0,0,0
SA14,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,2,0,1,0,0
SA15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30,0,0,0,0,0,2,0,1,0
SA16,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,20,0,3,0,0,1,0,2,0
SA17,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,19,0,3,3,0,4,2,0
SA18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,1,18,0,0,2,0,7,0
SA19,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,20,3,0,3,1,1
SA20,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,4,15,0,9,1,0
SA21,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,26,1,2,0
SA22,0,0,0,0,0,0,2,0,0,1,0,0,1,3,1,0,4,0,4,4,1,13,0,0
SA23,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,9,0,1,2,0,16,0
SE06,0,1,0,0,1,1,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,22
