,SA01,SA02,SA03,SA04,SA05,SA06,SA07,SA08,SA09,SA10,SA11,SA12,SA13,SA14,SA15,SA16,SA17,SA18,SA19,SA20,SA21,SA22,SA23,SE06
SA01,15,0,3,2,0,0,0,4,0,5,0,0,1,1,1,0,1,0,0,0,1,0,0,0
SA02,0,9,0,0,3,4,0,0,9,0,2,1,0,0,2,0,0,0,1,0,0,1,1,1
SA03,7,0,15,1,0,0,1,2,0,3,0,0,4,0,0,0,1,0,0,0,0,0,0,0
SA04,4,0,3,18,0,0,1,2,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0
SA05,0,5,0,0,20,2,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
SA06,0,4,0,0,7,8,3,0,0,0,0,2,1,1,0,1,0,0,2,1,0,1,0,3
SA07,1,0,5,0,0,1,16,1,0,2,0,0,1,1,0,2,0,0,0,1,1,0,2,0
SA08,6,0,0,4,0,0,0,17,0,3,0,0,2,0,0,1,0,0,0,0,1,0,0,0
SA09,0,8,0,0,3,2,0,0,12,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0
SA10,2,0,4,3,0,0,6,3,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0
SA11,0,1,0,0,1,2,0,0,1,0,23,3,0,0,0,0,0,0,0,0,1,0,0,2
SA12,0,1,0,0,6,0,0,0,4,0,2,17,0,0,0,0,0,0,0,0,0,0,1,3
SA13,2,0,0,5,0,0,1,5,0,3,0,0,17,0,1,0,0,0,0,0,0,0,0,0
SA14,0,0,0,0,0,1,0,0,0,0,0,0,0,22,0,0,1,0,4,2,0,4,0,0
SA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,1,0,0,0,2,1,1,0
SA16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,21,0,3,0,0,3,1,2,0
SA17,0,1,1,0,0,1,3,0,0,0,0,0,0,1,0,0,19,0,3,2,1,1,1,0
SA18,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,4,2,16,0,0,1,0,7,0
SA19,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,4,0,19,2,1,2,0,1
SA20,0,0,1,0,0,4,0,0,0,0,0,0,0,7,0,1,2,0,0,15,1,3,0,0
SA21,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2,4,0,1,17,1,3,0
SA22,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,6,0,2,4,0,17,0,0
SA23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,2,0,2,6,0,17,0
SE06,0,1,0,0,0,4,0,0,1,0,7,3,0,0,0,0,0,0,1,0,0,0,0,17
