,SA01,SA02,SA03,SA04,SA05,SA06,SA07,SA08,SA09,SA10,SA11,SA12,SA13,SA14,SA15,SA16,SA17,SA18,SA19,SA20,SA21,SA22,SA23,SE06
SA01,16,0,7,3,0,0,1,1,0,1,0,0,1,0,1,0,2,0,0,0,0,1,0,0
SA02,0,20,0,0,3,1,0,0,3,0,0,2,0,1,0,0,0,0,2,0,1,0,1,0
SA03,3,0,24,3,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SA04,2,0,2,22,0,0,3,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
SA05,0,0,0,0,23,4,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2
SA06,0,1,0,0,5,18,0,0,1,0,0,0,0,1,0,0,3,0,3,0,1,1,0,0
SA07,6,0,2,0,0,2,21,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
SA08,1,0,1,1,0,0,0,25,0,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0
SA09,0,7,0,0,3,1,0,0,18,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0
SA10,1,0,1,0,0,0,0,3,0,26,0,0,0,0,0,0,1,0,0,0,0,2,0,0
SA11,0,0,0,0,1,2,0,0,0,0,27,1,0,0,0,0,0,0,0,0,0,0,0,3
SA12,1,0,0,0,1,1,0,0,2,0,0,24,0,0,0,0,0,0,0,0,0,0,1,4
SA13,0,1,2,2,0,0,1,3,0,1,0,0,23,1,0,0,0,0,0,0,0,0,0,0
SA14,1,1,0,0,0,0,0,0,0,0,0,0,0,22,0,0,1,0,5,3,0,1,0,0
SA15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25,1,0,2,0,0,1,1,3,0
SA16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,17,2,2,0,0,4,0,5,0
SA17,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,23,0,3,1,0,3,0,0
SA18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,20,1,0,4,0,2,0
SA19,0,1,0,0,0,1,0,0,2,0,0,1,0,4,0,0,5,0,16,1,0,3,0,0
SA20,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1,4,19,0,3,1,0
SA21,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,25,0,2,0
SA22,0,0,0,0,0,1,1,0,0,2,0,0,1,2,0,1,1,1,4,6,0,14,0,0
SA23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,0,3,0,1,3,0,19,0
SE06,0,1,0,0,2,4,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,23
