,SA01,SA02,SA03,SA04,SA05,SA06,SA07,SA08,SA09,SA10,SA11,SA12,SA13,SA14,SA15,SA16,SA17,SA18,SA19,SA20,SA21,SA22,SA23,SE06
SA01,15,0,5,3,0,0,4,3,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0
SA02,0,18,0,0,4,3,0,0,4,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
SA03,5,0,19,2,0,0,1,2,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0
SA04,4,0,2,20,0,0,2,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0
SA05,0,4,0,0,19,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SA06,0,2,0,0,4,10,0,0,1,1,0,4,0,2,0,0,0,0,3,2,1,1,0,3
SA07,1,1,2,0,0,0,19,0,0,2,0,0,0,1,0,1,0,0,1,1,2,2,1,0
SA08,3,0,2,6,0,0,0,15,0,2,0,0,5,0,0,0,0,1,0,0,0,0,0,0
SA09,0,5,0,0,8,1,0,0,14,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
SA10,3,0,8,2,0,0,4,2,0,12,0,0,1,0,0,0,1,0,0,1,0,0,0,0
SA11,0,1,0,0,1,0,0,0,0,0,25,4,0,0,0,0,0,0,0,0,1,0,0,2
SA12,0,2,0,0,4,3,0,0,3,0,1,14,0,0,0,0,1,0,0,0,0,0,1,5
SA13,2,0,1,8,0,0,0,6,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
SA14,0,0,0,0,0,2,0,0,0,0,0,0,0,18,0,0,0,1,5,3,0,5,0,0
SA15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,1,0,4,0,0,3,0,3,0
SA16,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,18,1,2,0,0,5,0,3,0
SA17,0,0,2,0,0,0,2,0,0,1,0,0,0,1,0,0,20,0,1,1,1,4,1,0
SA18,2,0,0,0,0,1,1,0,0,0,0,0,0,0,3,6,1,13,0,0,4,0,3,0
SA19,0,0,0,0,0,1,0,0,0,0,1,1,0,6,0,0,4,1,15,4,1,0,0,0
SA20,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,4,0,5,15,0,3,0,0
SA21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,6,1,1,1,1,17,0,4,0
SA22,1,0,0,0,0,1,2,0,0,0,0,0,0,9,0,0,5,0,0,1,0,15,0,0
SA23,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,4,0,4,0,0,5,0,18,0
SE06,0,1,0,0,4,4,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,19
