target,ranking_method,top_features,cv_score,accuracy,f1_score,criterion,max_depth,max_features,min_samples_leaf,min_samples_split
Subject_ID,ANOVA_Only,50,0.3237225106182161,0.4950980392156863,0.49220191287796,entropy,10,,1,5
Subject_ID,ANOVA_Only,75,0.3461217555450684,0.5882352941176471,0.5885510475540587,entropy,,,2,2
Subject_ID,ANOVA_Only,100,0.36177347805568666,0.5870098039215687,0.5877981737061512,entropy,,,1,5
Subject_ID,ANOVA_Only,150,0.38663048607833883,0.6053921568627451,0.6048881487370719,entropy,10,,2,2
Subject_ID,ANOVA_Only,200,0.39551486550259557,0.6323529411764706,0.6340763532817234,entropy,10,,1,2
Subject_ID,ANOVA_Only,250,0.3961311939594148,0.6372549019607843,0.6382560326997447,entropy,,,1,2
Subject_ID,ANOVA_Only,500,0.3906172722982539,0.6482843137254902,0.6478049500762161,entropy,10,,1,5
Subject_ID,KW_Only,50,0.3135950920245399,0.5,0.4990433088253105,entropy,,,4,10
Subject_ID,KW_Only,75,0.3243341198678622,0.5061274509803921,0.5062028091606989,entropy,,,1,2
Subject_ID,KW_Only,100,0.32096083058046243,0.5232843137254902,0.522761435568362,entropy,,,1,2
Subject_ID,KW_Only,150,0.3890891930155734,0.5833333333333334,0.5814379061471963,entropy,,,4,10
Subject_ID,KW_Only,200,0.3728135913166588,0.5183823529411765,0.5149289678617812,gini,10,,4,10
Subject_ID,KW_Only,250,0.3844851344974044,0.5894607843137255,0.5897549096666598,entropy,,,1,5
Subject_ID,KW_Only,500,0.40318735252477583,0.6580882352941176,0.6581779703786297,entropy,,,1,5
Subject_ID,Min,50,0.32063803680981595,0.4117647058823529,0.40734359990092006,gini,10,sqrt,4,10
Subject_ID,Min,75,0.3166635205285512,0.4987745098039216,0.4982659483949939,entropy,,,1,10
Subject_ID,Min,100,0.32310806984426615,0.5514705882352942,0.5511145582371778,entropy,,,1,2
Subject_ID,Min,150,0.3810957999056158,0.5894607843137255,0.5875127944148774,entropy,,,4,2
Subject_ID,Min,200,0.3709768758848514,0.5612745098039216,0.5602668039249701,entropy,10,sqrt,2,2
Subject_ID,Min,250,0.38816422840962717,0.5992647058823529,0.5999740364507118,entropy,,,1,5
Subject_ID,Min,500,0.40349504483246806,0.6115196078431373,0.6111682403368036,gini,20,,1,5
Subject_ID,Max,50,0.29794620103822556,0.5159313725490197,0.513351874632264,entropy,,,2,10
Subject_ID,Max,75,0.33385087305332706,0.5637254901960784,0.5642756831840833,entropy,,,2,2
Subject_ID,Max,100,0.3611458235016517,0.5612745098039216,0.5630173835301906,entropy,10,,1,2
Subject_ID,Max,150,0.38876545540349217,0.6213235294117647,0.6228705031356566,entropy,,,1,2
Subject_ID,Max,200,0.40348938178386035,0.6507352941176471,0.6510250053025366,entropy,,,1,2
Subject_ID,Max,250,0.39766399244926853,0.625,0.6253310039071102,entropy,,,1,2
Subject_ID,Max,500,0.4056517225106182,0.6568627450980392,0.6554245076405381,entropy,,,2,5
Subject_ID,GeoMean,50,0.3353846153846154,0.5110294117647058,0.5093523370960008,entropy,,,2,5
Subject_ID,GeoMean,75,0.3307767815007079,0.5294117647058824,0.5300252918146752,entropy,,,2,10
Subject_ID,GeoMean,100,0.3366172722982539,0.5183823529411765,0.5184164195891219,entropy,,,1,2
Subject_ID,GeoMean,150,0.3657347805568665,0.5955882352941176,0.5962379042041289,entropy,,,1,2
Subject_ID,GeoMean,200,0.3912279377064653,0.6470588235294118,0.650863698347038,entropy,,,1,2
Subject_ID,GeoMean,250,0.40073242095327977,0.6041666666666666,0.6035858917260244,entropy,,,4,2
Subject_ID,GeoMean,500,0.41302501179801787,0.6421568627450981,0.642179691436057,entropy,,,1,2
Subject_ID,ANOVA_First,50,0.3267852760736196,0.5036764705882353,0.5001435662073576,entropy,10,,1,2
Subject_ID,ANOVA_First,75,0.3436687116564417,0.5735294117647058,0.5733270139635765,entropy,,,4,2
Subject_ID,ANOVA_First,100,0.3608400188768287,0.6078431372549019,0.6089132173899289,entropy,,,1,2
Subject_ID,ANOVA_First,150,0.3878470976875885,0.6213235294117647,0.6233653977587507,entropy,,,1,5
Subject_ID,ANOVA_First,200,0.39765738555922603,0.678921568627451,0.6791583464028078,entropy,,,1,2
Subject_ID,ANOVA_First,250,0.401955639452572,0.6360294117647058,0.636674160458908,entropy,,,1,2
Subject_ID,ANOVA_First,500,0.39490703161868806,0.6617647058823529,0.6605335810238611,entropy,,,1,5
Subject_ID,KW_First,50,0.3142076451156206,0.46078431372549017,0.4575047027843362,gini,,,4,2
Subject_ID,KW_First,75,0.32249551675318544,0.48161764705882354,0.4805561139201388,gini,20,,1,2
Subject_ID,KW_First,100,0.32095516753185466,0.5453431372549019,0.5437370410369755,entropy,,,2,2
Subject_ID,KW_First,150,0.38755545068428504,0.5796568627450981,0.5777525271419647,entropy,,,4,10
Subject_ID,KW_First,200,0.3731193959414818,0.5171568627450981,0.514268702198764,gini,10,,4,10
Subject_ID,KW_First,250,0.38478999528079283,0.5882352941176471,0.5879383728926381,entropy,,,1,5
Subject_ID,KW_First,500,0.40869938650306753,0.6237745098039216,0.6245870168377419,gini,20,,1,2
