,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15
D01,6,2,0,1,3,0,0,3,0,1,0,0,0,1,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
D02,0,12,0,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
D03,1,0,11,2,1,1,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
D04,0,1,6,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,2,0,1,0,1,0,0,0,0,0
D05,0,2,0,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
D06,1,1,1,4,0,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0
D07,0,0,0,0,0,0,5,0,7,1,0,1,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D08,2,0,0,0,0,0,0,10,1,6,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D09,1,0,0,0,0,0,2,0,8,3,0,1,0,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D10,3,0,0,0,1,0,0,5,2,6,0,2,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D11,2,0,0,0,2,0,0,1,0,3,10,1,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
D12,0,0,0,0,0,0,0,0,0,0,1,20,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D13,0,0,2,0,0,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
D14,1,0,0,0,0,0,0,0,2,0,5,5,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D15,0,0,0,0,0,0,6,0,6,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D16,0,0,0,0,0,0,4,0,1,0,0,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D17,2,0,1,0,1,0,0,0,0,2,2,0,1,1,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
D18,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,0,1,0,0,0,0,1,0,4,0,0,2,0,1
D19,1,0,1,0,2,1,0,0,0,2,3,0,0,2,1,0,2,0,6,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
F01,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,4,1,6,1,0,0,3,0,0,0,0,0
F02,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,1,0,0,2,2,0,0,0,0,1,0,2,0
F03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,10,0,0,2,1,0,2,0,0,1
F04,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,8,2,3,0,1,0,0,0,0,0,0,2
F05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,6,7,0,0,1,0,4,0,1,0,1,0
F06,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,11,2,0,1,0,0,0,0,0,0
F07,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,7,6,0,0,0,0,0,1,1,0
F08,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,2,0,1,2,0,5,3,2,1,0,1,0,0
F09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,6,1,1,7,1,0,2
F10,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,0,2,0,5,0,2,3,0,1
F11,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,4,0,1,7,3
F12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,3,1,0,11,2,1,0
F13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,1,0,0,0,0,3,1,1,3,1,0,2,6,0,1
F14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,5,2,0,14,0
F15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,2,3,1,2,1,2,2,2
