,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15
D01,14,2,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
D02,3,14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1
D03,0,1,15,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
D04,0,0,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
D05,1,1,1,0,15,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
D06,0,0,1,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,1,1,0,1,0,0,0,0,0,0,0
D07,0,0,0,0,0,0,7,1,2,1,1,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D08,0,0,0,0,0,0,1,2,3,9,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
D09,0,0,0,0,0,0,5,2,5,4,0,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D10,0,0,0,0,0,0,0,2,0,15,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
D11,0,0,0,0,0,0,0,0,1,8,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
D12,0,0,0,0,0,0,0,1,0,1,0,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D13,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1
D14,0,0,0,0,0,0,1,0,0,2,2,0,0,16,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D15,0,0,0,0,0,0,7,0,1,1,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D16,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,1,3,1,0,1,0,0,0,0,0,0,0,2,0
D19,0,0,0,0,0,0,0,2,0,3,10,0,0,0,0,0,0,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
F01,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,3,3,5,1,1,0,1,0,1,1,0,0
F02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,2,1,2,2,1,0,0,0,1,1,0,4,0
F03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,1,6,1,0,3,1,0,3,0,0,2
F04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,4,2,1,1,1,1,0,0,1,0,1,1
F05,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,5,6,1,0,2,0,0,1,1,0,0,0
F06,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,3,4,5,0,2,0,0,2,0,1,0
F07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,2,0,0,1,5,1,2,2,1,1,0,2,1
F08,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,0,2,1,5,1,1,2,1,0,1
F09,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,2,0,0,11,0,0,5,0,0,1
F10,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,1,1,3,2,0,1,1,2,2
F11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,7,1,1,0,0,1,0,0,0,4,0,1,2,2
F12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,7,0,0,9,0,1,2
F13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,2,5,0,2,4,1,3,3
F14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,1,2,14,0
F15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,7,2,0,3,4,2,1
