,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15
D01,16,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D02,2,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D03,0,2,14,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
D04,0,0,7,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D05,2,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D06,0,0,1,0,2,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
D07,0,0,0,0,0,0,13,0,3,2,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D08,0,0,0,0,0,0,3,7,0,5,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D09,0,0,0,0,0,0,1,0,12,3,1,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D10,0,0,0,0,0,0,0,8,0,7,1,1,0,2,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D11,0,0,0,0,0,0,0,4,3,2,11,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D12,0,0,0,0,0,0,0,2,0,0,1,17,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
D13,0,0,0,0,0,0,0,0,0,0,0,3,16,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
D14,0,0,0,0,0,0,0,1,0,0,3,0,1,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D15,0,0,0,0,0,0,2,3,0,2,1,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D16,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D17,1,1,0,0,3,0,0,2,0,0,0,0,1,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
D18,0,0,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,15,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
D19,0,1,0,0,2,1,0,3,0,6,3,1,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
F01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,4,1,1,0,6,1,2,0,0,2,0,0
F02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,3,4,0,0,0,7,0,1,2,0
F03,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,1,3,2,1,2,0,1,3,0,0,1
F04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,9,6,1,0,2,0,1,0,0,1,0,0
F05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,3,11,1,0,1,0,0,0,0,1,0,0
F06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,0,3,4,2,0,1,0,3,0,0,0
F07,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,1,1,5,0,0,1,1,1,0,1,1
F08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,5,1,1,0,3,3,4,0,1,1,0,2
F09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4,0,0,0,3,2,5,1,0,2,3,0,1
F10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,2,0,1,1,0,1,0,1,1,1,7,0,3
F11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,1,0,0,0,10,0,0,4,3
F12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,6,5,0,0,4,0,1,2
F13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,4,1,1,0,3,6,0,4
F14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,4,0,0,9,3
F15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,1,0,4,3,0,0,2,2,0,7
