target,ranking_method,top_features,cv_score,accuracy,f1_score,criterion,max_depth,max_features,min_samples_leaf,min_samples_split
Task_ID,ANOVA_Only,50,0.599260028,0.656862745,0.654766548,entropy,10,,4,2
Task_ID,ANOVA_Only,75,0.603565833,0.633578431,0.629846341,entropy,10,,2,10
Task_ID,ANOVA_Only,100,0.671048608,0.730392157,0.729601164,entropy,10,,4,2
Task_ID,ANOVA_Only,150,0.68670505,0.74754902,0.748003193,entropy,10,,4,2
Task_ID,ANOVA_Only,200,0.683330816,0.758578431,0.758048207,entropy,10,,1,2
Task_ID,ANOVA_Only,250,0.694385087,0.740196078,0.73793969,gini,10,,1,2
Task_ID,ANOVA_Only,500,0.72476168,0.778186275,0.779014953,gini,10,,4,10
Task_ID,KW_Only,50,0.393980179,0.399509804,0.394656317,entropy,10,,1,2
Task_ID,KW_Only,75,0.498311468,0.523284314,0.52520027,gini,10,,4,2
Task_ID,KW_Only,100,0.596799434,0.616421569,0.612202071,entropy,10,,4,10
Task_ID,KW_Only,150,0.615518641,0.659313725,0.655575777,entropy,10,,1,5
Task_ID,KW_Only,200,0.665531855,0.705882353,0.707770579,entropy,10,,1,10
Task_ID,KW_Only,250,0.666460595,0.704656863,0.705379985,entropy,,,1,2
Task_ID,KW_Only,500,0.714020765,0.772058824,0.772782573,gini,10,,2,5
Task_ID,Min,50,0.263874469,0.292892157,0.289090188,entropy,10,,2,5
Task_ID,Min,75,0.436019821,0.416666667,0.417778816,gini,,,4,2
Task_ID,Min,100,0.563041057,0.598039216,0.596090973,entropy,10,,1,10
Task_ID,Min,150,0.619826333,0.669117647,0.66913559,entropy,10,,1,5
Task_ID,Min,200,0.656633318,0.681372549,0.679275615,entropy,10,,1,10
Task_ID,Min,250,0.665839547,0.702205882,0.704095581,entropy,10,,1,2
Task_ID,Min,500,0.715563945,0.764705882,0.766089291,gini,,,4,10
Task_ID,Max,50,0.578088721,0.634803922,0.634635596,entropy,10,,2,5
Task_ID,Max,75,0.636999528,0.6875,0.686183761,entropy,,,1,2
Task_ID,Max,100,0.649570552,0.694852941,0.697329287,entropy,10,,2,5
Task_ID,Max,150,0.689781029,0.732843137,0.734174011,gini,10,,1,5
Task_ID,Max,200,0.693467673,0.75245098,0.752686035,entropy,10,,4,10
Task_ID,Max,250,0.6907126,0.74754902,0.747230024,gini,10,,1,2
Task_ID,Max,500,0.72383294,0.772058824,0.772542883,gini,10,,1,2
Task_ID,GeoMean,50,0.343970741,0.367647059,0.359628358,entropy,10,,4,2
Task_ID,GeoMean,75,0.358377537,0.417892157,0.41840287,gini,10,,1,2
Task_ID,GeoMean,100,0.37833412,0.400735294,0.403928075,gini,,,1,2
Task_ID,GeoMean,150,0.476831524,0.530637255,0.53036624,gini,,,4,10
Task_ID,GeoMean,200,0.636691836,0.666666667,0.662746522,entropy,10,,1,10
Task_ID,GeoMean,250,0.658170835,0.68872549,0.69194372,entropy,10,,4,10
Task_ID,GeoMean,500,0.678424729,0.758578431,0.758417805,entropy,10,,1,2
Task_ID,ANOVA_First,50,0.560000944,0.612745098,0.610430884,gini,10,,4,2
Task_ID,ANOVA_First,75,0.565196791,0.596813725,0.594522825,gini,10,,2,10
Task_ID,ANOVA_First,100,0.56582067,0.605392157,0.604669036,gini,10,,4,10
Task_ID,ANOVA_First,150,0.571032563,0.590686275,0.593402186,gini,10,,4,10
Task_ID,ANOVA_First,200,0.568878716,0.609068627,0.602216218,gini,10,,4,10
Task_ID,ANOVA_First,250,0.66215479,0.694852941,0.685238194,gini,10,,1,2
Task_ID,ANOVA_First,500,0.699899953,0.736519608,0.73734139,gini,,,4,10
Task_ID,KW_First,50,0.560000944,0.612745098,0.610430884,gini,10,,4,2
Task_ID,KW_First,75,0.565196791,0.596813725,0.594522825,gini,10,,2,10
Task_ID,KW_First,100,0.56582067,0.605392157,0.604669036,gini,10,,4,10
Task_ID,KW_First,150,0.571032563,0.590686275,0.593402186,gini,10,,4,10
Task_ID,KW_First,200,0.568878716,0.609068627,0.602216218,gini,10,,4,10
Task_ID,KW_First,250,0.66215479,0.694852941,0.685238194,gini,10,,1,2
Task_ID,KW_First,500,0.699899953,0.736519608,0.73734139,gini,,,4,10
